gene_name	S_active_log2FC_max	E_inactive_expression_max	active_count	max_tumor_expression	active_projects	Selection_Score	active_project
UTF1	2.540565195416132	0.0	1	2.1818181818181817	testis cancer	7.769387733093659	testis cancer
WNT9B	20.931569290671515	0.0909090909090909	1	2.0	breast cancer	4.3088726634092565	breast cancer
PMEL	3.1743655611157866	0.24	1	2.1666666666666665	melanoma	3.115477883279032	melanoma
NANOG	21.047046452603205	0.25	1	2.1666666666666665	testis cancer	3.0588943549126646	testis cancer
ODF1	21.516531550943597	0.5	1	3.0	carcinoid	2.5563938294226523	carcinoid
C11orf42	21.10149421196414	0.375	1	2.25	thyroid cancer	2.546995291719789	thyroid cancer
DCT	3.3378640053891613	0.5	1	2.3333333333333335	melanoma	2.193823887437419	melanoma
SPARCL1	21.10149421196414	0.5	1	2.25	glioma	2.141356490443195	glioma
MLANA	3.2309488490340033	0.5	1	2.1666666666666665	melanoma	2.086908731082261	melanoma
TYRP1	2.938594646362807	0.6	1	2.0	melanoma	1.7131195735591789	melanoma
NLGN4X	1.1375027368259396	0.6666666666666666	1	2.2	glioma	1.7009869528309638	glioma
ST8SIA2	21.10149421196414	0.7272727272727273	1	2.25	carcinoid	1.6096553468347148	carcinoid
LIPG	21.179496690218176	0.8333333333333334	1	2.375	melanoma	1.493753236695572	melanoma
FGF7	20.931569290671515	0.7272727272727273	1	2.0	thyroid cancer	1.439730425542089	thyroid cancer
DMRTC2	21.416995911742553	1.0909090909090908	1	2.8	prostate cancer	1.3467320011360715	prostate cancer
GLRB	3.3219229011966416	1.0	1	2.5	glioma	1.3075733789881931	glioma
IGF2BP1	1.289505859416246	1.1111111111111112	1	2.75	testis cancer	1.2945028753642602	testis cancer
DPPA4	1.459430700559261	1.1666666666666667	1	2.75	testis cancer	1.224726460478281	testis cancer
LIN28A	1.1699241999456464	1.0	1	2.25	testis cancer	1.155570349662896	testis cancer
NLGN4Y	1.1375027368259396	1.0	1	2.2	glioma	1.1231488865431891	glioma
KLK5	20.931569290671515	0.9166666666666666	1	2.0	prostate cancer	1.1098783391197138	prostate cancer
OLIG2	1.4150365975950632	1.25	1	2.6666666666666665	glioma	1.0816143065641908	glioma
TCHH	21.310080747460507	1.25	3	2.6	colorectal cancer;liver cancer;pancreatic cancer	1.0450884444111397	liver cancer
TCHH	21.310080747460507	1.25	3	2.6	colorectal cancer;liver cancer;pancreatic cancer	1.0450884444111397	pancreatic cancer
TCHH	21.310080747460507	1.25	3	2.6	colorectal cancer;liver cancer;pancreatic cancer	1.0450884444111397	colorectal cancer
TEKT1	20.931569290671515	1.0	1	2.0	prostate cancer	0.9856454283702702	prostate cancer
OOEP	20.931569290671515	1.0	1	2.0	thyroid cancer	0.9856454283702702	thyroid cancer
PLPPR5	20.931569290671515	1.0	1	2.0	thyroid cancer	0.9856454283702702	thyroid cancer
ZCCHC12	20.931569290671515	1.0	1	2.0	skin cancer	0.9856454283702702	skin cancer
TCP10L	20.931569290671515	1.0	1	2.0	thyroid cancer	0.9856454283702702	thyroid cancer
ALPP	21.227025040614873	1.25	1	2.4545454545454546	testis cancer	0.962032737565506	testis cancer
ALPG	21.227025040614873	1.25	1	2.4545454545454546	testis cancer	0.962032737565506	testis cancer
MITF	2.6431404751203753	1.25	1	2.4444444444444446	melanoma	0.9560834736630984	melanoma
SPATA9	1.0641295847098162	1.0833333333333333	1	2.090909090909091	glioma	0.9353977132819328	glioma
CFAP161	21.10149421196414	1.181818181818182	1	2.25	thyroid cancer	0.916761480830233	thyroid cancer
IFNB1	21.11599377524728	1.25	1	2.272727272727273	renal cancer	0.8510014721979142	renal cancer
RENBP	2.043067033284539	1.5	1	2.6666666666666665	melanoma	0.8204894907390285	melanoma
CHRDL1	21.10149421196414	1.2727272727272727	1	2.25	carcinoid	0.8107111784547237	carcinoid
RALGPS1	21.25349724128944	1.4166666666666667	3	2.5	endometrial cancer;melanoma;thyroid cancer	0.8092803760599971	thyroid cancer
RALGPS1	21.25349724128944	1.4166666666666667	3	2.5	endometrial cancer;melanoma;thyroid cancer	0.8092803760599971	endometrial cancer
RALGPS1	21.25349724128944	1.4166666666666667	3	2.5	endometrial cancer;melanoma;thyroid cancer	0.8092803760599971	melanoma
CDH8	21.227025040614873	1.4	1	2.4545454545454546	colorectal cancer	0.7997613086666292	colorectal cancer
COL5A1	21.153961608958365	1.3333333333333333	1	2.3333333333333335	head and neck cancer	0.7965757016021038	head and neck cancer
NIBAN3	21.05710011264311	1.25	1	2.1818181818181817	prostate cancer	0.7921078095937426	prostate cancer
SALL4	2.378509292749135	1.5	1	2.6	testis cancer	0.7839636285859771	testis cancer
HTN1	20.931569290671515	1.1666666666666667	2	2.0	head and neck cancer;skin cancer	0.7652950385720408	skin cancer
HTN1	20.931569290671515	1.1666666666666667	2	2.0	head and neck cancer;skin cancer	0.7652950385720408	head and neck cancer
BHMT	1.9068890086454813	1.5	1	2.5	renal cancer	0.7273801224149092	renal cancer
NPVF	21.25349724128944	1.5	1	2.5	renal cancer	0.7273801224149092	renal cancer
PHF24	21.43406941903975	1.75	1	2.8333333333333335	prostate cancer	0.6869254208530059	prostate cancer
DOT1L	1.459430700559261	1.7272727272727273	1	2.75	testis cancer	0.6626078886881459	testis cancer
PHACTR1	1.2410072671803256	1.5	1	2.363636363636364	testis cancer	0.6464601603242908	testis cancer
ITIH3	21.516531550943597	1.9166666666666667	3	3.0	colorectal cancer;pancreatic cancer;thyroid cancer	0.6388559896146251	thyroid cancer
ITIH3	21.516531550943597	1.9166666666666667	3	3.0	colorectal cancer;pancreatic cancer;thyroid cancer	0.6388559896146251	colorectal cancer
ITIH3	21.516531550943597	1.9166666666666667	3	3.0	colorectal cancer;pancreatic cancer;thyroid cancer	0.6388559896146251	pancreatic cancer
PABPC3	1.1699241999456464	1.5454545454545454	2	2.4166666666666665	head and neck cancer;testis cancer	0.6356828553061592	head and neck cancer
PABPC3	1.1699241999456464	1.5454545454545454	2	2.4166666666666665	head and neck cancer;testis cancer	0.6356828553061592	testis cancer
C1QTNF12	21.43406941903975	1.8333333333333333	2	2.8333333333333335	colorectal cancer;thyroid cancer	0.6201838699767526	colorectal cancer
C1QTNF12	21.43406941903975	1.8333333333333333	2	2.8333333333333335	colorectal cancer;thyroid cancer	0.6201838699767526	thyroid cancer
AK5	21.391000712577753	1.8	3	2.75	cervical cancer;head and neck cancer;skin cancer	0.6034424459450998	head and neck cancer
AK5	21.391000712577753	1.8	3	2.75	cervical cancer;head and neck cancer;skin cancer	0.6034424459450998	cervical cancer
AK5	21.391000712577753	1.8	3	2.75	cervical cancer;head and neck cancer;skin cancer	0.6034424459450998	skin cancer
CXCL11	21.462083785417303	1.9090909090909092	3	2.888888888888889	colorectal cancer;head and neck cancer;thyroid cancer	0.5900921611579965	colorectal cancer
CXCL11	21.462083785417303	1.9090909090909092	3	2.888888888888889	colorectal cancer;head and neck cancer;thyroid cancer	0.5900921611579965	head and neck cancer
CXCL11	21.462083785417303	1.9090909090909092	3	2.888888888888889	colorectal cancer;head and neck cancer;thyroid cancer	0.5900921611579965	thyroid cancer
MEA1	21.06907274884443	2.0	2	3.0	breast cancer;head and neck cancer	0.5777674802152193	breast cancer
CEACAM8	21.153961608958365	2.0	3	3.0	colorectal cancer;lung cancer;stomach cancer	0.5777674802152193	colorectal cancer
